dataset,algorithm,k,coreset_size,coreset_size_factor,running_time,real_cost,coreset_cost,distortion,real_cost_synthetic,coreset_cost_synthetic,distortion_synthetic,real_cost_synthetic2,coreset_cost_synthetic2,distortion_synthetic2
NYTimes,Ray Maker,20,4000,200,77.0,274751998.1103574,21980962.789951857,12.499543388333954,286986179.71362823,31709087.19468165,9.050597324093344,277741960.0908888,26471899.102270626,10.491954469071903
NYTimes,Ray Maker,20,4000,200,78.0,274314774.57908535,22276137.355956614,12.314288163864903,289762732.9912595,33136135.19557157,8.744614641419751,276819659.7083697,26656927.670656554,10.384529797598827
NYTimes,Ray Maker,20,4000,200,72.0,275681643.3737707,21547329.00101282,12.794237437076886,287034621.90757185,30573767.630075544,9.388264651596772,277425230.9832175,25107684.072552033,11.049415397356439
NYTimes,Group Sampling,50,10000,200,169.0,255901582.1889288,248450058.0965775,1.0299920400479632,286333706.3863697,282771919.28256196,1.0125959717387942,264914705.44698513,259381867.90803587,1.0213308570239417
NYTimes,Group Sampling,50,10000,200,162.0,254550908.27300093,246497911.25264394,1.0326696359390373,286502002.5674101,282649975.52920926,1.013628258877393,265099135.94627452,259258731.58288002,1.0225273198234692
NYTimes,Group Sampling,50,10000,200,169.0,255379227.45303056,247559873.47562385,1.0315857084091484,286792838.4422009,282051895.46581227,1.0168087612691237,264766445.76496375,258488681.1248333,1.0242864198649329
NYTimes,Group Sampling,50,10000,200,173.0,256089651.86438042,248505037.3885385,1.0305209687318464,286000162.74667764,281647490.44514716,1.0154543265933278,266982139.15961775,261120396.37342656,1.0224484294126468
NYTimes,Group Sampling,50,10000,200,164.0,255427342.80901176,248834635.1363086,1.0264943329496383,287578559.1324431,283960212.2600267,1.0127424431881429,265981002.38856322,260998916.44740292,1.0190885311286888
NYTimes,Group Sampling,50,10000,200,165.0,255712413.0251804,248605630.40191573,1.028586571477787,287187285.32690156,283512006.18931985,1.012963398576946,265697351.5764172,260411655.47760803,1.020297463602829
NYTimes,Group Sampling,50,10000,200,169.0,255538394.36300212,248495998.8931926,1.0283400759013286,285885190.8872981,282341235.553512,1.0125520288484904,265807468.62805292,260674222.4527148,1.0196921894579325
NYTimes,Group Sampling,50,10000,200,168.0,255785869.8127312,248621304.99996504,1.028817179657098,287139907.45747244,283049249.0959689,1.0144521081563322,264722955.02714163,258984609.46612614,1.0221570910056956
NYTimes,Group Sampling,50,10000,200,172.0,255276469.85766163,247548748.0524157,1.031216969853589,286016609.530166,281330204.89347696,1.0166580216243168,265521590.98468906,259375947.27783644,1.0236939614923877
NYTimes,Group Sampling,50,10000,200,168.0,255735833.63943258,247551940.13749906,1.0330592985754339,286457851.54634666,281931299.6624419,1.0160555138408698,264606949.42097712,258521349.14240342,1.0235400298612147
NYTimes,BICO,20,10000,500,412.0,273110516.2391771,54057485.941497795,5.0522237851524086,286685612.6791811,61676984.40170648,4.648178173108754,277516397.15340674,56949969.15965432,4.87298590760275
NYTimes,BICO,20,10000,500,296.0,272005261.27109253,50995428.03042261,5.333914662091294,287122653.59487915,58277339.9208221,4.926831835237768,276393546.941689,54009749.17754584,5.117475106820115
NYTimes,BICO,20,10000,500,555.0,273648792.25077724,51437017.46814485,5.320075030016059,287131113.3440987,58366926.02236712,4.9194146910198,278217419.5096928,54933560.473785356,5.06461654970389
NYTimes,BICO,20,10000,500,577.0,272899450.13955224,54484293.56314184,5.008772846128382,286856272.3030071,61258151.85180457,4.682744477779357,277287470.0661718,57808674.50360845,4.79664120388824
NYTimes,BICO,20,10000,500,524.0,272254093.631364,55126181.52132729,4.9387439165550395,286730984.1927768,63364305.75166078,4.525118373687248,275974522.5938177,57769641.190155506,4.777154867301588
NYTimes,BICO,20,10000,500,342.0,272983542.0211116,49826978.8891542,5.478629210661048,288169022.3291082,57955944.53263355,4.9722081945683305,276643981.3322036,53090176.711457625,5.210831804831794
NYTimes,BICO,20,10000,500,258.0,274082014.91475147,53503880.86552153,5.122656720988867,286886589.7777461,60539429.17942182,4.73883869845378,277427454.95503634,56137509.24863753,4.941926684461327
NYTimes,BICO,20,10000,500,358.0,273729310.21693647,51155353.53726548,5.350941617821702,286916065.44123554,57679821.867374904,4.9742883412669165,276848380.79746765,53747438.54220835,5.150913016627873
NYTimes,BICO,20,10000,500,215.0,273406030.5647234,44356096.392726034,6.163888457270989,287865563.81409395,51365759.129031844,5.60423069171371,279646079.1616972,49966084.43590355,5.596717900127374
NYTimes,BICO,20,10000,500,204.0,272768217.0458761,44236925.0031115,6.166075445494694,287166897.8380942,50113724.85002364,5.730304396600021,279275908.47030646,47825518.93789097,5.839474712924507
